Q,LEVEL,MESSAGE_BIT_LENGTH,N,K,ETA1,DU0,DU1,DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,10,5,4096,1030,1.2460374505993912619134223094415723531786077818403719695575306768868324133010053e-30
8192,2,256,128,9,2,11,4,2048,0,1.6240375083169509387873880954459097357404230297058649951858247604755515314230960e-38
8192,3,512,256,8,2,11,8,2048,550,1.9374910384029566391850050728197811639831916828354867816269028697142862375509660e-38
