implementation,instance,binary,text,data,bss,dec,peak_rss_kb,stack_usage_bytes,status,notes
Reference,MAMBA-Frost-128,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-128/benchmark_kem_api,30760,752,208,31720,3104,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-192,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-192/benchmark_kem_api,31136,752,208,32096,5180,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-256,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-256/benchmark_kem_api,31216,752,208,32176,8668,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-384,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-384/benchmark_kem_api,31456,752,208,32416,16928,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-512,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-512/benchmark_kem_api,31680,752,208,32640,29124,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-128,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-CC-128/benchmark_kem_api,30760,752,208,31720,3032,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-192,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-CC-192/benchmark_kem_api,31136,752,208,32096,5176,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-256,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-CC-256/benchmark_kem_api,31216,752,208,32176,8664,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-384,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-CC-384/benchmark_kem_api,31504,752,208,32464,16856,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-512,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Reference/MAMBA-Frost-CC-512/benchmark_kem_api,31728,752,208,32688,29192,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-128,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-128/benchmark_kem_api,31370,744,200,32314,2048,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-192,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-192/benchmark_kem_api,30986,744,200,31930,2176,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-256,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-256/benchmark_kem_api,33594,744,200,34538,2304,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-384,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-384/benchmark_kem_api,34834,744,200,35778,2688,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-512,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-512/benchmark_kem_api,35842,744,200,36786,3072,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-128,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-CC-128/benchmark_kem_api,31406,744,200,32350,2048,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-192,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-CC-192/benchmark_kem_api,31022,744,200,31966,2176,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-256,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-CC-256/benchmark_kem_api,33630,744,200,34574,2304,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-384,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-CC-384/benchmark_kem_api,35494,744,200,36438,2560,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-512,/home/ubuntu/桌面/NGCC/Frost/x86_Self_Evaluation/results/20260628-142822/build/Optimized/MAMBA-Frost-CC-512/benchmark_kem_api,36054,744,200,36998,2944,NA,PASS,stack_usage_not_measured
