512 比特安全性：

参数: N=1024, Q=260609, D=10, L=3, K=2
LN=16384, LNBITS=14
B0=73426.15, B1=74202.04, B=74206.14

采样次数: 100000

=== z1 高位系数分布 (总系数: 307200000) ===
高位值 |    频数    |   比例
   1571     |     7908 |   7.908%
   1572     |     8527 |   8.527%
   1573     |     8619 |   8.619%
   1574     |     8160 |   8.160%
   1575     |     7532 |   7.532%
   1576     |     6721 |   6.721%
   1577     |     5436 |   5.436%
   1578     |     4294 |   4.294%
   1579     |     3263 |   3.263%
   1580     |     2444 |   2.444%
   1581     |     1726 |   1.726%
   1582     |     1174 |   1.174%
   1583     |      783 |   0.783%
   1584     |      467 |   0.467%
   1585     |      214 |   0.214%
   1586     |      113 |   0.113%
   1587     |       54 |   0.054%
   1588     |       30 |   0.030%
   1589     |        6 |   0.006%
   1590     |        3 |   0.003%
   1591     |        5 |   0.005%
   1594     |        1 |   0.001%

=== 总编码尺寸分布 (h + hb_z1) ===
尺寸(字节) |   频数   |   比例   | 累计比例
-----------|----------|----------|----------
   2631     |        1 |   0.001% |   0.001%
   2633     |       10 |   0.010% |   0.011%
   2634     |       32 |   0.032% |   0.043%
   2635     |      207 |   0.207% |   0.250%
   2636     |      724 |   0.724% |   0.974%
   2637     |     2112 |   2.112% |   3.086%
   2638     |     5050 |   5.050% |   8.136%
   2639     |     9063 |   9.063% |  17.199%
   2640     |    13818 |  13.818% |  31.017%
   2641     |    16496 |  16.496% |  47.513%
   2642     |    16545 |  16.545% |  64.058%
   2643     |    14122 |  14.122% |  78.180%
   2644     |    10045 |  10.045% |  88.225%
   2645     |     6176 |   6.176% |  94.401%
   2646     |     3220 |   3.220% |  97.621%
   2647     |     1502 |   1.502% |  99.123%
   2648     |      604 |   0.604% |  99.727%
   2649     |      192 |   0.192% |  99.919%
   2650     |       56 |   0.056% |  99.975%
   2651     |       20 |   0.020% |  99.995%
   2652     |        4 |   0.004% |  99.999%
   2653     |        1 |   0.001% | 100.000%
