序号,类别,算法/文件名称,官方文件名,本地相对路径,大小(字节),状态,SHA256,发布日期,官方下载地址,官方页面
007,公告附件(中文),,f4OlofsB.pdf,04-notices/zh/pdf/对于公钥密码算法提交要求与评估准则相关意见的反馈.pdf,346438,ok,489cea2ccee9a6a9c72e1627bb824fa0dfa447a30739bcad8a84822e2d50a399,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/f4OlofsB.pdf,
008,公告附件(中文),,nVU9HsfY.pdf,04-notices/zh/pdf/《密码杂凑算法提交要求》.pdf,529319,ok,feacb2d900828f83e74bd197e64d812422daa7c337c69eea2711ab39925b786c,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/nVU9HsfY.pdf,
009,公告附件(中文),,9m5NUQf2.pdf,04-notices/zh/pdf/密码杂凑算法评估准则.pdf,226986,ok,d63d86089faef2267df8539b53c38a9185cac371c2d5e13131869b63569ae719,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/9m5NUQf2.pdf,
010,公告附件(中文),,pvarkHFt.pdf,04-notices/zh/pdf/对于密码杂凑算法提交要求与评估准则相关意见的反馈.pdf,268078,ok,5b20b760a059e3bf33d5caa87c707b6f6d50b3a1e264ee36e32b43d290e5253e,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/pvarkHFt.pdf,
011,公告附件(中文),,IS6SIiT8.pdf,04-notices/zh/pdf/新一代商用密码算法x86架构实现自评估指引.pdf,512440,ok,08f47bd34d8c933897ad3eb54343258a8d28c56a94dff0da0a4a03c95231b5b6,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/IS6SIiT8.pdf,
012,公告附件(中文),,00HZQCfH.pdf,04-notices/zh/pdf/新一代商用密码算法ARM架构实现自评估指引.pdf,511419,ok,9084912d920bf4c0bbd8d0bd19df7d3f674d1872454c723529fa8fdb57524ec0,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/00HZQCfH.pdf,
013,公告附件(中文),,mnBkOurn.pdf,04-notices/zh/pdf/新一代商用密码算法FPGA实现自评估指引.pdf,550042,ok,fa2ab335b81fe9cb895e2277959b2cb60652c2c91f62811922a73d2ac1b01e7b,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/mnBkOurn.pdf,
014,公告附件(中文),,YhgNkaey.pdf,04-notices/zh/pdf/新一代商用密码算法ASIC实现自评估指引.pdf,546222,ok,f943660147d0542c452929c8154e45ae89cd958e36c806b8f673e2e5cc5672b0,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/YhgNkaey.pdf,
015,公告附件(中文),,tHGHcTNN.pdf,04-notices/zh/pdf/分组密码算法提交要求（征求意见稿）.pdf,692294,ok,99537b46cf4085bb1e3b30714271065e95aaa27ec4547d8e4df4ba744219ec6b,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/tHGHcTNN.pdf,
016,公告附件(中文),,u127Lf5l.pdf,04-notices/zh/pdf/分组密码算法评估准则（征求意见稿）.pdf,355311,ok,7b1bdd34217bf956979f2656ffb022bc3c04e158bec398093d6cb61b8682ff6a,,https://www.niccs.org.cn/symmbzyjy/%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A/u127Lf5l.pdf,
001,官方API测试包,API_BlockCipher.zip,API_BlockCipher.zip,03-api/API_BlockCipher.zip,17620,ok,95b9848d0593b0db8733bc150112bbb19afdc440188185f68a6e8e8e6ab37ca5,,https://www.niccs.org.cn/niccs/Download/API_BlockCipher.zip,
002,官方API测试包,API_PKC.zip,API_PKC.zip,03-api/API_PKC.zip,31009,ok,ac1013aa9b720a5f22986bc75a48988b4eedfd77a7fb108e79781d5a05fc9506,,https://www.niccs.org.cn/niccs/Download/API_PKC.zip,
003,官方API测试包,API_CryptHash.zip,API_CryptHash.zip,03-api/API_CryptHash.zip,1218340,ok,5c7fdb3a1057291810fb5a28186e7a7e1d7182c2e7e746d94a053479b77c61d7,,https://www.niccs.org.cn/niccs/Download/API_CryptHash.zip,
001,网页存档,index.html,index.html,05-webarchive/en/index.html,36637,ok,67cb046ea10f52decc5f9e5ca646bc52e7a68f687479d051f362cbd9987d7821,,https://www.niccs.org.cn/niccs/index.html,
002,网页存档,Proposal-list.html,Proposal-list.html,05-webarchive/en/Proposal-list.html,12317,ok,861696c98f87f6675868d1832b12f115f4a8a92ef1d3f3a308b5e880e318e9d2,,https://www.niccs.org.cn/niccs/Proposal/pc/list.html,
003,网页存档,Round1Additional-list.html,Round1Additional-list.html,05-webarchive/en/Round1Additional-list.html,127286,ok,3921cfb119884a31e06674254b9c5e7ac9941df4a290fef83fbe962f2610c062,,https://www.niccs.org.cn/niccs/Round1Additional/pc/list.html,
004,网页存档,Round1Submissions4-list.html,Round1Submissions4-list.html,05-webarchive/en/Round1Submissions4-list.html,71993,ok,e26af19ec125ff0131a2c9acf4b69ce3ac669db8736dd1fac13148b9c0ee2a8f,,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/list.html,
005,网页存档,R1DigitalSignature-list.html,R1DigitalSignature-list.html,05-webarchive/en/R1DigitalSignature-list.html,75490,ok,e538293dbcbd63dc6472cdb6bd260c04eff3e793e3263736aaa14a6d2d01b731,,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/list.html,
006,网页存档,R1KeyEncapsulation-list.html,R1KeyEncapsulation-list.html,05-webarchive/en/R1KeyEncapsulation-list.html,85940,ok,417527f237417807d61e5070a8ce8e3c46c4b214604df917d6fd606a0dd46f04,,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/list.html,
007,网页存档,R1KeyExchange-list.html,R1KeyExchange-list.html,05-webarchive/en/R1KeyExchange-list.html,46181,ok,a218d1d0adc15d449b7c573c0a7494424de9ca3dd59c2c89ead30ccc205aad92,,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/list.html,
