implementation,instance,operation,ops_per_sec
Reference,MAMBA-Frost-128,kem_keygen,46.11
Reference,MAMBA-Frost-128,kem_enc,36.69
Reference,MAMBA-Frost-128,kem_dec,34.97
Reference,MAMBA-Frost-192,kem_keygen,14.47
Reference,MAMBA-Frost-192,kem_enc,13.59
Reference,MAMBA-Frost-192,kem_dec,14.18
Reference,MAMBA-Frost-256,kem_keygen,7.10
Reference,MAMBA-Frost-256,kem_enc,6.76
Reference,MAMBA-Frost-256,kem_dec,6.53
Reference,MAMBA-Frost-384,kem_keygen,3.29
Reference,MAMBA-Frost-384,kem_enc,2.08
Reference,MAMBA-Frost-384,kem_dec,1.94
Reference,MAMBA-Frost-512,kem_keygen,1.71
Reference,MAMBA-Frost-512,kem_enc,0.37
Reference,MAMBA-Frost-512,kem_dec,0.35
Reference,MAMBA-Frost-CC-128,kem_keygen,41.29
Reference,MAMBA-Frost-CC-128,kem_enc,36.31
Reference,MAMBA-Frost-CC-128,kem_dec,30.34
Reference,MAMBA-Frost-CC-192,kem_keygen,14.60
Reference,MAMBA-Frost-CC-192,kem_enc,13.31
Reference,MAMBA-Frost-CC-192,kem_dec,11.89
Reference,MAMBA-Frost-CC-256,kem_keygen,6.53
Reference,MAMBA-Frost-CC-256,kem_enc,6.73
Reference,MAMBA-Frost-CC-256,kem_dec,6.57
Reference,MAMBA-Frost-CC-384,kem_keygen,3.04
Reference,MAMBA-Frost-CC-384,kem_enc,2.12
Reference,MAMBA-Frost-CC-384,kem_dec,2.10
Reference,MAMBA-Frost-CC-512,kem_keygen,1.57
Reference,MAMBA-Frost-CC-512,kem_enc,0.57
Reference,MAMBA-Frost-CC-512,kem_dec,0.57
Optimized,MAMBA-Frost-128,kem_keygen,1048.19
Optimized,MAMBA-Frost-128,kem_enc,699.28
Optimized,MAMBA-Frost-128,kem_dec,624.02
Optimized,MAMBA-Frost-192,kem_keygen,515.32
Optimized,MAMBA-Frost-192,kem_enc,415.57
Optimized,MAMBA-Frost-192,kem_dec,303.83
Optimized,MAMBA-Frost-256,kem_keygen,260.19
Optimized,MAMBA-Frost-256,kem_enc,207.08
Optimized,MAMBA-Frost-256,kem_dec,136.95
Optimized,MAMBA-Frost-384,kem_keygen,136.00
Optimized,MAMBA-Frost-384,kem_enc,93.33
Optimized,MAMBA-Frost-384,kem_dec,74.87
Optimized,MAMBA-Frost-512,kem_keygen,50.36
Optimized,MAMBA-Frost-512,kem_enc,36.95
Optimized,MAMBA-Frost-512,kem_dec,34.37
Optimized,MAMBA-Frost-CC-128,kem_keygen,1168.91
Optimized,MAMBA-Frost-CC-128,kem_enc,893.17
Optimized,MAMBA-Frost-CC-128,kem_dec,655.77
Optimized,MAMBA-Frost-CC-192,kem_keygen,450.73
Optimized,MAMBA-Frost-CC-192,kem_enc,347.64
Optimized,MAMBA-Frost-CC-192,kem_dec,266.43
Optimized,MAMBA-Frost-CC-256,kem_keygen,261.96
Optimized,MAMBA-Frost-CC-256,kem_enc,220.95
Optimized,MAMBA-Frost-CC-256,kem_dec,166.32
Optimized,MAMBA-Frost-CC-384,kem_keygen,95.07
Optimized,MAMBA-Frost-CC-384,kem_enc,104.42
Optimized,MAMBA-Frost-CC-384,kem_dec,76.90
Optimized,MAMBA-Frost-CC-512,kem_keygen,44.06
Optimized,MAMBA-Frost-CC-512,kem_enc,52.81
Optimized,MAMBA-Frost-CC-512,kem_dec,37.06
