implementation,instance,operation,ops_per_sec
Reference,MAMBA-Frost-128,kem_keygen,100.08
Reference,MAMBA-Frost-128,kem_enc,93.90
Reference,MAMBA-Frost-128,kem_dec,94.55
Reference,MAMBA-Frost-192,kem_keygen,35.18
Reference,MAMBA-Frost-192,kem_enc,30.42
Reference,MAMBA-Frost-192,kem_dec,34.10
Reference,MAMBA-Frost-256,kem_keygen,16.48
Reference,MAMBA-Frost-256,kem_enc,16.14
Reference,MAMBA-Frost-256,kem_dec,16.03
Reference,MAMBA-Frost-384,kem_keygen,7.36
Reference,MAMBA-Frost-384,kem_enc,6.77
Reference,MAMBA-Frost-384,kem_dec,6.76
Reference,MAMBA-Frost-512,kem_keygen,4.07
Reference,MAMBA-Frost-512,kem_enc,3.42
Reference,MAMBA-Frost-512,kem_dec,3.41
Reference,MAMBA-Frost-CC-128,kem_keygen,103.66
Reference,MAMBA-Frost-CC-128,kem_enc,94.68
Reference,MAMBA-Frost-CC-128,kem_dec,84.45
Reference,MAMBA-Frost-CC-192,kem_keygen,35.22
Reference,MAMBA-Frost-CC-192,kem_enc,34.66
Reference,MAMBA-Frost-CC-192,kem_dec,34.29
Reference,MAMBA-Frost-CC-256,kem_keygen,16.63
Reference,MAMBA-Frost-CC-256,kem_enc,16.13
Reference,MAMBA-Frost-CC-256,kem_dec,16.09
Reference,MAMBA-Frost-CC-384,kem_keygen,7.18
Reference,MAMBA-Frost-CC-384,kem_enc,7.17
Reference,MAMBA-Frost-CC-384,kem_dec,7.19
Reference,MAMBA-Frost-CC-512,kem_keygen,3.85
Reference,MAMBA-Frost-CC-512,kem_enc,3.88
Reference,MAMBA-Frost-CC-512,kem_dec,3.83
Optimized,MAMBA-Frost-128,kem_keygen,3707.11
Optimized,MAMBA-Frost-128,kem_enc,2516.83
Optimized,MAMBA-Frost-128,kem_dec,1915.79
Optimized,MAMBA-Frost-192,kem_keygen,1768.17
Optimized,MAMBA-Frost-192,kem_enc,1351.76
Optimized,MAMBA-Frost-192,kem_dec,975.54
Optimized,MAMBA-Frost-256,kem_keygen,916.11
Optimized,MAMBA-Frost-256,kem_enc,672.93
Optimized,MAMBA-Frost-256,kem_dec,503.19
Optimized,MAMBA-Frost-384,kem_keygen,468.08
Optimized,MAMBA-Frost-384,kem_enc,279.43
Optimized,MAMBA-Frost-384,kem_dec,227.37
Optimized,MAMBA-Frost-512,kem_keygen,267.46
Optimized,MAMBA-Frost-512,kem_enc,134.46
Optimized,MAMBA-Frost-512,kem_dec,109.71
Optimized,MAMBA-Frost-CC-128,kem_keygen,3754.99
Optimized,MAMBA-Frost-CC-128,kem_enc,2540.92
Optimized,MAMBA-Frost-CC-128,kem_dec,1915.78
Optimized,MAMBA-Frost-CC-192,kem_keygen,1722.91
Optimized,MAMBA-Frost-CC-192,kem_enc,1394.46
Optimized,MAMBA-Frost-CC-192,kem_dec,1043.96
Optimized,MAMBA-Frost-CC-256,kem_keygen,935.25
Optimized,MAMBA-Frost-CC-256,kem_enc,698.90
Optimized,MAMBA-Frost-CC-256,kem_dec,505.64
Optimized,MAMBA-Frost-CC-384,kem_keygen,336.80
Optimized,MAMBA-Frost-CC-384,kem_enc,326.03
Optimized,MAMBA-Frost-CC-384,kem_dec,255.71
Optimized,MAMBA-Frost-CC-512,kem_keygen,156.39
Optimized,MAMBA-Frost-CC-512,kem_enc,174.56
Optimized,MAMBA-Frost-CC-512,kem_dec,131.35
