threads,QSH-512_MBps,QSH-768_MBps,QSH-1024_MBps,speedup_vs_1T(512)
1,145.0,152.8,152.8,1.00
2,273.7,289.1,289.1,1.89
4,493.4,521.4,522.3,3.40
8,824.5,873.2,873.7,5.69
12,1015.1,1121.6,1088.6,7.00
