Q,LEVEL,M_LEN,N,K,ETA1,ETA2,DU,DV,CODE_ALPHA,CODE_BETA,DFR,ct_size,pk_size
3329,1,128,64,9,2,2,12,6,832,220,6.3030200077564719341380899508051228341143609989872864074078220445757190478189332e-31,912,1184
4001,1,128,64,9,1,1,9,7,1000,270,7.5190319748543888944467951338184545092814530648808634809913152712857589493274477e-31,704,1184
3329,2,256,128,9,1,1,11,9,832,220,2.7249700940424183193704119776618869424365133232807042221150473503528714028062434e-49,1728,2336
4001,2,256,128,9,1,1,11,5,1000,250,4.4349023077256525165835791509863720055344609550333961312097339652710845987186541e-51,1664,2336
4001,3,512,256,9,1,1,12,8,1000,270,4.2279179741097675879679010231102629772404253653328652212224130467060400468114945e-49,3712,4640
7681,3,512,256,8,2,2,13,7,1920,510,4.8471715022615881697887772032067073599471416171452919623585573548782514847699298e-49,3552,4128
